"districtid","hasMetro","busStopDensity","stopsWithinMetroService","streetDensity","collectorStreetDensity","mainRoadDensity","highWayDensity","busRouteDensity","lineOverlapFactor","peopleDensity","developLevel","developLevelWithinBusService","busAccessibility","laggingIndex","weiboSignin","number","number_level","1","2","3","4","5","index","leafIndex"
46,0,3.874483106,0,0.431685031,0.6991531,0,0.237547302,13.69008372,5.644419253,3310.266969,-0.317441706,-0.391150447,11506.03825,3.911870881,2689,252,1,0.661971830985915,0.0985915492957746,0.0845070422535211,0.0704225352112676,0.0845070422535211,1,4
47,0,0.072949599,0,0.095963206,0,0,0.124683522,0,0,163.450601,-0.332662668,-0.403969662,14655.14842,4.333734211,1,204,1,0.661971830985915,0.0985915492957746,0.0845070422535211,0.0704225352112676,0.0845070422535211,1,4
49,0,0.453768603,0,1.146400903,0.080546606,0,0.092556086,0.732019062,4.797896067,277.817799,-0.321960262,-0.393157271,11254.4297,4.616207962,907,55,1,0.661971830985915,0.0985915492957746,0.0845070422535211,0.0704225352112676,0.0845070422535211,1,4
50,0,0.295009513,0,0.126543415,0.086865338,0.003804718,0,0.931085281,7.117628207,931.0363564,-0.330586821,-0.379298189,12382.32784,3.907232503,652,313,1,0.661971830985915,0.0985915492957746,0.0845070422535211,0.0704225352112676,0.0845070422535211,1,4
51,0,0.277879634,0,0.549957765,0.332448086,0.023589703,0.076456771,2.572610931,20.3395105,640.0021174,-0.28793021,-0.281448169,12342.60625,3.979230802,9652,1072,5,0.661971830985915,0.0985915492957746,0.0845070422535211,0.0704225352112676,0.0845070422535211,1,4
52,0,0.07687061,0,0.108087311,0,0.175906863,0,1.982425944,13.61688362,700.1364455,-0.332493251,-0.410482746,11993.44877,3.543278221,13,1402,5,0.661971830985915,0.0985915492957746,0.0845070422535211,0.0704225352112676,0.0845070422535211,1,4
53,0,8.166663856,0,0.193604902,1.337034836,0,0,24.51636745,13.82574786,8024.473938,-0.264344059,-0.341722109,10570.22427,3.793075464,4410,253,1,0.661971830985915,0.0985915492957746,0.0845070422535211,0.0704225352112676,0.0845070422535211,1,4
54,0,0.669660832,0,0,0.276938855,0,0,1.450115435,42.93023155,1027.673058,-0.32119761,-0.370116604,11466.48668,3.695871381,153,233,1,0.661971830985915,0.0985915492957746,0.0845070422535211,0.0704225352112676,0.0845070422535211,1,4
55,0,0.134112887,0,0.123054743,0.081222543,0,0,0.978228161,11.56096894,184.1494703,-0.332672821,-0.413252907,11740.78707,3.951020863,27,317,1,0.661971830985915,0.0985915492957746,0.0845070422535211,0.0704225352112676,0.0845070422535211,1,4
56,0,6.604492376,0,0,0,0.108748697,0,12.37397708,9.229969476,7501.839843,-0.332672821,-0.405082982,10698.33537,3.852525006,1,228,1,0.661971830985915,0.0985915492957746,0.0845070422535211,0.0704225352112676,0.0845070422535211,1,4
